x	y	z	rrmse
24.6227	12.0485	-6.71663	0.1748639838794577
-15.1745	-2.32943	24.2786	0.1859378674383585
-1.39268	-10.7083	-19.4635	0.1490112806261372
18.5283	4.8109	-27.0957	0.14241908616934834
-32.9387	7.31466	-15.9395	0.14652668631080573
-37.0604	-3.40868	12.9529	0.14606949912978706
-35.8531	-6.80156	-0.809116	0.1539330569260165
10.7159	1.74646	15.6307	0.24193021607695175
25.6294	-2.4062	4.31577	0.21215672940246535
34.4471	-11.5848	16.211	0.16225360126858288
-20.3923	-14.2529	-10.5709	0.1574717126378984
-6.8967	14.6674	-17.379	0.15681230358391496
10.7841	25.1064	-2.07812	0.18299703800772155
19.0174	-13.7797	-7.23466	0.13794283526482792
-32.4871	5.94977	1.50589	0.3241985214641589
-0.656544	-15.8909	7.65106	0.1636181171728351
25.7993	2.64258	4.50299	0.18081152078272522
-2.2146	10.1336	24.8537	0.19520537321735723
23.9362	-8.84417	-17.6972	0.2656283963381803
-22.3911	10.952	10.7378	0.15650058708830195
-17.5989	-9.02726	-27.3996	0.10813887850371502
-24.9023	-11.6908	8.02347	0.18730798637835794
-34.0662	7.21741	-4.0194	0.1774772440504046
15.9886	10.9258	17.2363	0.1829623364860541
19.7506	-0.128848	-30.6943	0.20221388718362648
31.2435	-22.2085	22.0454	0.22195879598730697
-3.33176	-12.1715	-25.2513	0.27651903985485876
-4.8121	10.0472	-24.0765	0.19514896508057436
12.3909	16.7097	5.43002	0.13538414097854418
10.7422	-14.2275	6.92628	0.2104023868798336
-23.1252	4.76649	22.7862	0.18501501824138428
20.7483	-14.6651	16.3194	0.23219507919353047
26.58	9.2177	3.18921	0.23515007662078374
-18.2644	-9.42817	18.1321	0.17959003996683653
1.27263	-11.1452	-27.3826	0.16669552942633103
2.00812	5.27114	-27.0947	0.13462651723540164
-27.7787	-1.84702	-23.394	0.18828138037946246
-34.4836	-10.1193	8.52211	0.18415618247494295
-36.1169	0.794519	-1.66046	0.18577762255974722
7.09141	13.2039	26.0994	0.19215255693466007
31.1782	-1.55549	-9.58035	0.13101963305723302
31.7465	-27.9007	18.7896	0.16304912349712003
-21.062	-12.1892	-19.7826	0.20901347621159388
-0.990883	17.4014	-13.4095	0.19223886361672188
2.69079	23.3752	4.04696	0.19028596415238455
21.0087	-12.8157	-0.585529	0.12338176798499996
-37.6306	-1.59337	2.106	0.19934264748457653
3.40109	4.06785	23.184	0.1773205877798281
21.958	-2.20641	17.9288	0.1937229340170754
-8.33684	11.6792	23.9216	0.2233514048477852
21.4481	-8.86781	-23.0271	0.1838937845450989
